text,date,clean_text,cluster,modified_date
@chrishasboobs AHHH I HOPE YOUR OK!!! ,2009-06-16 18:18:12,ahhh hope ok,0,2009-06-16
"@misstoriblack cool , i have no tweet apps  for my razr 2",2009-04-06 23:11:14,cool tweet apps razr,0,2009-04-06
"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",2009-06-23 13:40:11,know family drama lamehey next time u hang kim n u guys like sleepover whatever ill call u,0,2009-06-23
School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,2009-06-01 10:26:07,school email wont open geography stuff revise stupid school,0,2009-06-01
upper airways problem ,2009-06-20 12:56:51,upper airways problem,0,2009-06-20
Going to miss Pastor's sermon on Faith... ,2009-06-06 00:32:16,going miss pastors sermon faith,0,2009-06-06
on lunch....dj should come eat with me ,2009-05-31 13:10:36,lunchdj come eat,0,2009-05-31
@piginthepoke oh why are you feeling like that? ,2009-06-19 16:11:29,oh feeling like,0,2009-06-19
gahh noo!peyton needs to live!this is horrible ,2009-05-11 22:01:32,gahh noopeyton needs livethis horrible,0,2009-05-11
@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,2009-05-30 03:39:34,thank glad like product review bit site enjoy knitting,0,2009-05-30
@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,2009-06-05 23:59:27,zach makes pee sitting im grown gay man,3,2009-06-05
to sum up my day in one word ......... kackered! ,2009-06-01 08:29:05,sum day one word kackered,0,2009-06-01
@k9wkj Great minds think alike ,2009-06-07 16:46:29,great minds think alike,0,2009-06-07
Is Poorly and in bed! ,2009-06-17 03:00:02,poorly bed,0,2009-06-17
"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",2009-04-18 14:39:59,oh thats really great small blizzard also cold wind blows,0,2009-04-18
"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",2009-05-18 03:32:38,lol calm got day loan offer,0,2009-05-18
"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",2009-06-16 03:39:22,im feeling quite sleepy today wish could stay bed todaybut ok last year lets go school,1,2009-06-16
@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,2009-05-30 12:06:09,yeah mathieu totally choked rd set let rog win well djokovic played terribly,0,2009-05-30
"ugh, morning's off to a rough start ",2009-06-02 06:20:35,ugh mornings rough start,0,2009-06-02
just bit my tongue ,2009-06-07 03:36:33,bit tongue,0,2009-06-07
@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,2009-06-01 12:09:16,apparently dont time ur fans,2,2009-06-01
Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,2009-06-06 06:49:41,whaddup whaddup whaddup whaddup whaddup got white girl swag head shoes whaddup,0,2009-06-06
"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",2009-05-28 23:39:25,id willing pay thus covering cost set one youve got counter offer ill listen,0,2009-05-28
Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,2009-06-16 04:49:51,working photos hillsongs year celebration stay tuned wwwhillsongcoza,0,2009-06-16
"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",2009-05-01 23:59:22,babys chicken pox soo bad face afraid might scars,0,2009-05-01
i don't feel good ,2009-06-18 16:54:56,dont feel good,2,2009-06-18
